timestamp,location,country,temperature,feels_like,weather,humidity,wind_speed,wind_dir,pressure,uv_index
2025-07-16T00:50:10.421335,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:50:20.621997,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:50:30.912324,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:50:41.253933,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:50:51.500621,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:51:01.689502,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:51:13.912729,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:51:24.092152,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:51:34.470374,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:51:44.815532,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:51:55.158263,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:52:05.352990,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:52:15.546932,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:52:25.739714,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:52:36.176140,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:52:46.359691,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:52:56.536144,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:53:06.738650,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:53:17.062009,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:53:27.258661,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:53:37.439662,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:53:47.794513,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:53:58.241731,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:54:08.450205,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:54:18.715034,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:54:28.963696,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:54:39.280158,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:54:49.461695,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:54:59.651871,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:55:09.840832,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:55:20.175894,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:55:30.368057,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:55:40.552731,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:55:50.751749,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
2025-07-16T00:56:02.858102,Karachi,Pakistan,30.1,36.8,Overcast,70,20.9,WSW,1001.0,0.0
